                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89187,                0.65664,                 1.1171,                0.87344,                0.73398,                0.82933,                0.53118,                  1.575,                 1.4439,                 1.6939,             0.00041266,             0.00041266,             0.00041266
                      2,                0.90399,                0.61701,                 1.1187,                0.90281,                0.71346,                0.81332,                0.52341,                 1.5737,                   1.41,                 1.6884,             0.00082112,             0.00082112,             0.00082112
                      3,                0.91427,                0.66776,                 1.1252,                0.88309,                0.68957,                0.80636,                0.51425,                 1.5599,                 1.4494,                 1.7059,              0.0012213,              0.0012213,              0.0012213
                      4,                0.94383,                0.67727,                 1.1387,                 0.8737,                0.70549,                0.82232,                0.50799,                  1.578,                 1.2729,                 1.6718,              0.0012129,              0.0012129,              0.0012129
                      5,                0.96969,                0.69666,                 1.1433,                0.86602,                0.70425,                0.79939,                0.50685,                 1.5063,                 1.3302,                 1.5891,              0.0012129,              0.0012129,              0.0012129
                      6,                0.96505,                0.68697,                 1.1504,                0.88571,                0.69494,                0.81481,                0.51683,                 1.5372,                 1.2595,                 1.6581,              0.0012005,              0.0012005,              0.0012005
                      7,                 0.9541,                0.67475,                 1.1454,                0.86365,                0.68359,                0.79763,                0.50119,                 1.5727,                 1.3221,                 1.6961,              0.0011881,              0.0011881,              0.0011881
                      8,                0.95605,                0.68072,                 1.1417,                0.81032,                 0.7665,                0.81494,                0.51128,                 1.5425,                 1.2032,                 1.6655,              0.0011757,              0.0011757,              0.0011757
                      9,                0.94562,                0.68115,                 1.1436,                 0.8733,                  0.721,                0.83235,                0.52175,                 1.5367,                 1.1407,                 1.6241,              0.0011634,              0.0011634,              0.0011634
                     10,                0.96474,                0.68217,                 1.1467,                0.90116,                0.72956,                0.83587,                 0.5269,                 1.5337,                 1.2479,                 1.6291,               0.001151,               0.001151,               0.001151
                     11,                0.94067,                0.67598,                 1.1389,                0.82537,                0.72629,                0.80234,                0.51648,                 1.5165,                 1.2554,                 1.6038,              0.0011386,              0.0011386,              0.0011386
                     12,                0.94257,                0.66012,                 1.1301,                0.80369,                0.73077,                0.81314,                0.51512,                 1.4989,                 1.2709,                  1.635,              0.0011263,              0.0011263,              0.0011263
                     13,                0.93988,                0.66304,                 1.1434,                0.87097,                0.72752,                0.83301,                0.53514,                 1.4827,                 1.2085,                 1.5946,              0.0011139,              0.0011139,              0.0011139
                     14,                0.96346,                0.66972,                 1.1498,                 0.8856,                0.75134,                0.82719,                0.53484,                 1.5179,                 1.1593,                 1.5909,              0.0011015,              0.0011015,              0.0011015
                     15,                0.95207,                 0.6573,                 1.1454,                0.89563,                0.74406,                0.82689,                0.53271,                 1.5178,                 1.2759,                 1.6415,              0.0010891,              0.0010891,              0.0010891
                     16,                0.94615,                0.65368,                 1.1412,                0.88095,                0.74396,                0.83388,                0.52346,                 1.4747,                 1.1627,                 1.5884,              0.0010768,              0.0010768,              0.0010768
                     17,                0.95078,                0.65425,                  1.141,                 0.8139,                0.75236,                0.83066,                 0.5253,                 1.5044,                 1.2085,                  1.618,              0.0010644,              0.0010644,              0.0010644
                     18,                0.94552,                0.65101,                 1.1386,                0.84134,                0.75981,                0.82468,                0.52527,                 1.4737,                 1.1098,                 1.5772,               0.001052,               0.001052,               0.001052
                     19,                0.92953,                0.65725,                  1.142,                 0.8685,                 0.7334,                0.82565,                0.51432,                 1.5051,                 1.2246,                 1.6063,              0.0010396,              0.0010396,              0.0010396
                     20,                0.92809,                0.64003,                 1.1313,                0.85847,                0.72243,                0.81669,                0.52822,                 1.4782,                 1.2735,                 1.5772,              0.0010273,              0.0010273,              0.0010273
                     21,                0.92806,                0.62815,                 1.1197,                 0.8794,                0.71542,                0.80966,                 0.5124,                  1.514,                 1.3022,                 1.6115,              0.0010149,              0.0010149,              0.0010149
                     22,                0.91695,                0.64517,                 1.1245,                0.85967,                0.76854,                0.84362,                0.53904,                 1.4855,                 1.1752,                 1.6014,              0.0010025,              0.0010025,              0.0010025
                     23,                0.92124,                 0.6489,                 1.1335,                0.84421,                0.75427,                0.84483,                 0.5431,                 1.4647,                 1.1952,                 1.5934,             0.00099013,             0.00099013,             0.00099013
                     24,                0.91092,                0.61397,                 1.1131,                0.89257,                0.72549,                0.84203,                0.54225,                 1.4669,                 1.1741,                 1.5888,             0.00097775,             0.00097775,             0.00097775
                     25,                0.92559,                0.62907,                 1.1298,                 0.8719,                0.72446,                  0.827,                 0.5316,                 1.4999,                 1.2332,                 1.6427,             0.00096537,             0.00096537,             0.00096537
                     26,                0.90706,                0.61471,                 1.1165,                0.85784,                0.70458,                0.81984,                0.53362,                 1.4289,                 1.1413,                 1.5705,               0.000953,               0.000953,               0.000953
                     27,                0.92137,                0.61779,                 1.1302,                0.86722,                0.75558,                0.83831,                0.54441,                 1.4731,                 1.2113,                  1.608,             0.00094062,             0.00094062,             0.00094062
                     28,                0.92193,                0.62942,                 1.1286,                0.90214,                0.71847,                0.84072,                0.53872,                 1.4818,                 1.1561,                 1.6069,             0.00092825,             0.00092825,             0.00092825
                     29,                0.90443,                0.61776,                  1.117,                  0.858,                0.73869,                0.83167,                0.53861,                 1.4722,                 1.1398,                 1.6045,             0.00091588,             0.00091588,             0.00091588
                     30,                0.89414,                0.60502,                 1.1129,                0.87515,                0.73984,                0.83178,                0.53091,                 1.5048,                 1.1594,                 1.6415,              0.0009035,              0.0009035,              0.0009035
                     31,                0.90246,                0.60336,                 1.1119,                0.90962,                0.74912,                0.83864,                0.53935,                 1.5017,                 1.1779,                 1.6363,             0.00089112,             0.00089112,             0.00089112
                     32,                0.89872,                0.60664,                 1.1147,                0.81912,                0.75901,                0.82674,                0.53429,                 1.5159,                 1.2596,                 1.6567,             0.00087875,             0.00087875,             0.00087875
                     33,                0.89246,                0.59388,                 1.1093,                0.87869,                0.72373,                0.83286,                0.52367,                 1.5154,                 1.2114,                 1.6643,             0.00086637,             0.00086637,             0.00086637
                     34,                0.86712,                0.58885,                 1.0936,                0.84648,                0.77389,                0.84229,                0.53841,                 1.4904,                 1.1353,                 1.6485,               0.000854,               0.000854,               0.000854
                     35,                0.87494,                0.59628,                 1.1038,                0.87285,                0.73859,                0.82472,                0.52742,                 1.5276,                  1.282,                 1.6881,             0.00084162,             0.00084162,             0.00084162
                     36,                0.88158,                0.60512,                 1.1061,                0.87445,                0.72353,                0.83729,                0.53186,                 1.5186,                 1.1532,                  1.664,             0.00082925,             0.00082925,             0.00082925
                     37,                0.88015,                0.58652,                 1.1031,                0.88993,                0.76325,                0.84765,                0.54309,                 1.4715,                 1.1655,                 1.6113,             0.00081688,             0.00081688,             0.00081688
                     38,                0.87563,                0.58315,                  1.096,                0.83829,                  0.752,                0.82777,                0.53885,                 1.4581,                 1.1913,                  1.605,              0.0008045,              0.0008045,              0.0008045
                     39,                0.87951,                0.58129,                 1.1034,                0.84902,                0.75197,                 0.8292,                0.53217,                 1.4817,                 1.1506,                 1.6449,             0.00079213,             0.00079213,             0.00079213
                     40,                0.89095,                0.59056,                 1.1036,                0.88517,                0.72027,                0.82076,                0.52427,                 1.5201,                 1.2709,                 1.6924,             0.00077975,             0.00077975,             0.00077975
                     41,                0.89138,                0.58392,                 1.1002,                0.89466,                0.71161,                0.82981,                0.52795,                 1.5028,                 1.1837,                 1.6677,             0.00076738,             0.00076738,             0.00076738
                     42,                0.87634,                0.58177,                 1.1017,                0.86537,                0.74391,                0.83566,                0.54184,                 1.4853,                 1.1835,                 1.6562,               0.000755,               0.000755,               0.000755
                     43,                0.86958,                 0.5737,                 1.1049,                0.85171,                  0.748,                0.84145,                 0.5413,                 1.4992,                 1.1804,                 1.6737,             0.00074263,             0.00074263,             0.00074263
                     44,                0.87901,                 0.5738,                 1.0997,                0.86468,                0.74938,                0.84374,                0.54181,                 1.5095,                 1.1919,                 1.6625,             0.00073025,             0.00073025,             0.00073025
                     45,                0.85709,                0.57218,                 1.0925,                0.83644,                0.75996,                0.84005,                0.54147,                 1.5095,                 1.1719,                 1.6502,             0.00071788,             0.00071788,             0.00071788
                     46,                 0.8637,                0.56559,                  1.097,                0.84296,                0.75992,                0.82317,                0.52826,                 1.5257,                 1.2362,                 1.6621,              0.0007055,              0.0007055,              0.0007055
                     47,                 0.8576,                 0.5734,                 1.0924,                0.83809,                0.76903,                 0.8314,                0.53231,                 1.4881,                 1.2188,                 1.6295,             0.00069313,             0.00069313,             0.00069313
                     48,                 0.8607,                0.55353,                 1.0889,                0.86994,                0.73884,                0.83698,                0.53454,                 1.5013,                 1.2041,                 1.6479,             0.00068075,             0.00068075,             0.00068075
                     49,                0.85572,                0.55148,                 1.0848,                0.86851,                0.75064,                0.83012,                0.53776,                 1.4997,                 1.2518,                 1.6566,             0.00066838,             0.00066838,             0.00066838
                     50,                0.86007,                0.56961,                 1.0953,                0.86687,                0.73541,                 0.8268,                0.53249,                 1.4736,                 1.1568,                 1.6071,               0.000656,               0.000656,               0.000656
                     51,                 0.8453,                0.55472,                 1.0777,                0.88808,                0.74975,                0.84316,                0.54686,                 1.4631,                 1.1816,                 1.6217,             0.00064362,             0.00064362,             0.00064362
                     52,                 0.8414,                0.53777,                 1.0812,                0.86947,                0.75777,                0.84821,                0.54814,                 1.4516,                 1.2057,                 1.6125,             0.00063125,             0.00063125,             0.00063125
                     53,                0.84283,                 0.5583,                 1.0815,                0.83946,                0.75215,                0.82948,                0.53868,                 1.4514,                 1.2506,                 1.6234,             0.00061887,             0.00061887,             0.00061887
                     54,                0.84271,                0.55813,                 1.0799,                0.84742,                0.72915,                0.83191,                0.53882,                 1.4936,                 1.2172,                 1.6739,              0.0006065,              0.0006065,              0.0006065
                     55,                0.82936,                0.54026,                 1.0785,                0.84992,                0.74558,                0.83862,                0.55061,                 1.4899,                 1.1691,                 1.6604,             0.00059413,             0.00059413,             0.00059413
                     56,                0.84899,                  0.549,                 1.0891,                0.87841,                0.74063,                0.83358,                0.53679,                 1.4996,                 1.2166,                 1.6429,             0.00058175,             0.00058175,             0.00058175
                     57,                0.81944,                0.53544,                 1.0732,                0.88033,                0.74279,                 0.8424,                0.55131,                 1.4993,                 1.2152,                 1.6613,             0.00056938,             0.00056938,             0.00056938
                     58,                0.82916,                0.53656,                 1.0716,                0.88955,                0.72455,                0.83925,                0.54809,                 1.4456,                 1.2016,                 1.6198,               0.000557,               0.000557,               0.000557
                     59,                0.83033,                  0.537,                 1.0724,                0.87219,                0.74465,                 0.8415,                0.54256,                  1.483,                 1.2279,                 1.6628,             0.00054463,             0.00054463,             0.00054463
                     60,                0.82382,                 0.5428,                 1.0715,                0.84976,                0.74017,                0.82609,                0.53409,                 1.4788,                 1.1601,                 1.6559,             0.00053225,             0.00053225,             0.00053225
                     61,                0.82059,                0.53096,                  1.072,                0.81082,                0.77082,                0.82115,                0.52979,                 1.4729,                 1.2651,                 1.6611,             0.00051988,             0.00051988,             0.00051988
                     62,                0.81231,                0.53089,                 1.0771,                0.86531,                0.72227,                 0.8352,                0.54785,                 1.4708,                 1.1843,                 1.6452,              0.0005075,              0.0005075,              0.0005075
                     63,                0.80542,                0.51961,                 1.0633,                0.80587,                0.78312,                0.83844,                0.54169,                 1.4876,                 1.1788,                 1.6664,             0.00049513,             0.00049513,             0.00049513
                     64,                0.84242,                0.54539,                 1.0863,                0.88115,                0.74289,                0.84636,                 0.5493,                 1.4799,                 1.1566,                  1.636,             0.00048275,             0.00048275,             0.00048275
                     65,                0.81688,                0.53122,                 1.0687,                0.86897,                0.75919,                0.85267,                0.54653,                 1.4789,                 1.1921,                 1.6468,             0.00047038,             0.00047038,             0.00047038
                     66,                0.81067,                0.51989,                 1.0668,                0.88017,                0.75704,                0.85338,                0.55167,                 1.4494,                  1.158,                 1.6296,               0.000458,               0.000458,               0.000458
                     67,                0.83938,                0.54621,                 1.0887,                0.87055,                0.74937,                0.84576,                0.54546,                   1.49,                 1.1925,                 1.6699,             0.00044563,             0.00044563,             0.00044563
                     68,                0.80273,                0.52239,                 1.0586,                0.89785,                0.72955,                0.84073,                0.54927,                 1.4847,                 1.2218,                 1.6677,             0.00043325,             0.00043325,             0.00043325
                     69,                0.81125,                0.52267,                 1.0623,                0.86053,                 0.7417,                0.84497,                 0.5442,                 1.4665,                 1.1344,                 1.6477,             0.00042087,             0.00042087,             0.00042087
                     70,                 0.7941,                 0.5137,                 1.0574,                0.87631,                0.74135,                0.84266,                0.54271,                 1.4825,                 1.1604,                 1.6524,              0.0004085,              0.0004085,              0.0004085
                     71,                0.80165,                0.51558,                 1.0656,                0.87878,                0.76336,                0.85179,                0.54868,                 1.4822,                 1.1464,                 1.6701,             0.00039613,             0.00039613,             0.00039613
                     72,                0.80111,                 0.5168,                 1.0645,                0.91769,                0.72744,                0.84962,                0.56104,                 1.4853,                 1.1814,                 1.6584,             0.00038375,             0.00038375,             0.00038375
                     73,                0.80102,                0.51777,                 1.0626,                0.87349,                0.73899,                0.84686,                0.54868,                 1.4785,                 1.2048,                  1.646,             0.00037138,             0.00037138,             0.00037138
                     74,                0.79778,                  0.504,                 1.0576,                 0.8916,                0.75202,                0.85781,                0.55105,                 1.4679,                 1.1473,                  1.642,               0.000359,               0.000359,               0.000359
                     75,                0.76614,                0.49116,                 1.0458,                0.90739,                0.71847,                0.85196,                0.54283,                 1.4899,                 1.2124,                 1.6525,             0.00034663,             0.00034663,             0.00034663
                     76,                 0.7931,                0.52021,                 1.0582,                0.85927,                 0.7476,                0.84489,                0.55019,                  1.495,                 1.1882,                 1.6623,             0.00033425,             0.00033425,             0.00033425
                     77,                0.76039,                0.49612,                 1.0493,                 0.8803,                0.73144,                0.83663,                0.55115,                 1.4883,                 1.2315,                 1.6603,             0.00032188,             0.00032188,             0.00032188
                     78,                0.78246,                0.49689,                 1.0551,                0.87319,                 0.7608,                0.85228,                0.55295,                 1.4813,                 1.2323,                 1.6626,              0.0003095,              0.0003095,              0.0003095
                     79,                0.79272,                0.50432,                 1.0632,                0.87774,                0.73698,                0.84053,                0.55463,                 1.4914,                 1.3035,                 1.6498,             0.00029713,             0.00029713,             0.00029713
                     80,                0.77775,                0.49456,                 1.0473,                0.84658,                0.78528,                0.85664,                0.55709,                 1.4962,                 1.2437,                 1.6713,             0.00028475,             0.00028475,             0.00028475
                     81,                0.77212,                0.50039,                 1.0575,                0.85464,                0.75796,                0.82941,                0.54359,                 1.5012,                 1.2648,                 1.6618,             0.00027237,             0.00027237,             0.00027237
                     82,                0.77065,                0.49698,                 1.0546,                0.89404,                0.73712,                0.84664,                0.55056,                  1.481,                 1.2195,                  1.645,                0.00026,                0.00026,                0.00026
                     83,                0.76793,                0.50098,                 1.0548,                0.89054,                0.74773,                 0.8384,                0.55408,                 1.4937,                 1.2246,                 1.6619,             0.00024762,             0.00024762,             0.00024762
                     84,                0.76995,                0.49037,                 1.0419,                0.88654,                0.75761,                0.84463,                 0.5541,                 1.4685,                 1.2353,                 1.6453,             0.00023525,             0.00023525,             0.00023525
                     85,                0.76936,                 0.5002,                 1.0494,                0.88713,                0.74082,                  0.846,                0.55308,                 1.4787,                 1.1948,                 1.6592,             0.00022288,             0.00022288,             0.00022288
                     86,                0.75687,                0.48967,                 1.0434,                0.88423,                0.74133,                0.84128,                0.55049,                 1.4815,                 1.1845,                 1.6507,              0.0002105,              0.0002105,              0.0002105
                     87,                0.77056,                0.48446,                 1.0399,                0.88915,                0.74602,                0.84835,                0.55608,                 1.4782,                  1.231,                  1.636,             0.00019813,             0.00019813,             0.00019813
                     88,                 0.7681,                0.49463,                 1.0489,                0.86338,                0.75743,                0.84203,                0.55043,                 1.4798,                 1.2166,                 1.6427,             0.00018575,             0.00018575,             0.00018575
                     89,                0.75633,                0.47444,                 1.0381,                0.83827,                 0.7887,                0.84788,                0.55073,                 1.4796,                 1.2106,                 1.6496,             0.00017338,             0.00017338,             0.00017338
                     90,                 0.7532,                0.49035,                 1.0475,                0.86885,                0.76685,                0.84791,                 0.5531,                 1.4781,                 1.2457,                 1.6437,               0.000161,               0.000161,               0.000161
                     91,                0.74472,                0.40589,                 1.0275,                0.87084,                 0.7514,                0.84133,                0.54071,                 1.5156,                 1.2807,                 1.7115,             0.00014862,             0.00014862,             0.00014862
                     92,                 0.7124,                0.37903,                 1.0039,                0.88224,                0.74451,                0.84585,                0.54838,                  1.495,                  1.286,                 1.6831,             0.00013625,             0.00013625,             0.00013625
                     93,                0.69156,                0.36873,                 1.0029,                0.88824,                 0.7311,                0.84299,                0.54872,                 1.4977,                 1.2469,                 1.6896,             0.00012387,             0.00012387,             0.00012387
                     94,                0.68813,                0.35976,                 1.0024,                0.89637,                0.73492,                0.84551,                0.54827,                 1.4798,                 1.2236,                 1.6737,              0.0001115,              0.0001115,              0.0001115
                     95,                0.67819,                0.35982,                0.99578,                0.91154,                0.73626,                0.85542,                0.55331,                 1.4831,                 1.2482,                 1.6726,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.68103,                0.35057,                0.99494,                0.90673,                0.74107,                0.85804,                0.55133,                 1.4936,                  1.221,                 1.6868,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.66632,                0.35096,                0.98294,                 0.8826,                0.75784,                0.85321,                0.55474,                 1.4894,                 1.2226,                 1.6691,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.66522,                0.35144,                0.98533,                0.88418,                0.74955,                0.85508,                0.55504,                 1.4965,                 1.2381,                 1.6827,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.66935,                0.35075,                0.98782,                 0.8888,                0.74813,                0.85444,                0.55614,                 1.4995,                 1.2302,                 1.6916,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.66013,                0.34645,                0.98271,                0.89924,                0.75332,                0.85904,                0.55603,                 1.4948,                 1.2306,                  1.685,              3.725e-05,              3.725e-05,              3.725e-05
